date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2024-06-24,분할 매수,강한 녹색,1,1,53,58.7,0.4344,신규 매수,약한 녹색,1,43,0.3703,-0.9648,2.0624,2.1507,2.0624,2.0624,2.4998,-0.0496,-16.5735
2024-06-25,분할 매수,강한 녹색,1,1,55,58.7,0.4754,신규 매수,강한 녹색,1,47,0.4693,2.1507,-0.2226,-0.7374,-0.2226,-0.2226,0.3593,-4.1048,-16.9797
2024-06-26,분할 매수,강한 녹색,1,1,56,58.7,0.4865,신규 매수,강한 녹색,1,47,0.4344,-0.7374,0.8516,0.0223,0.8516,0.8516,2.2167,-5.8231,-15.6998
2024-06-27,분할 매수,강한 녹색,1,1,57,58.7,0.4703,신규 매수,강한 녹색,1,54,0.4344,0.0223,-0.1742,-0.0463,-0.1742,-0.1742,1.9642,-8.8022,-14.5241
2024-06-28,분할 매수,강한 녹색,1,1,53,58.7,0.5521,신규 매수,강한 녹색,1,47,0.5469,-0.0463,-0.0269,-0.5335,-0.0269,-0.0269,3.7125,-7.5177,-13.1303
2024-07-01,분할 매수,강한 녹색,1,1,52,58.7,0.5588,신규 매수,강한 녹색,1,52,0.5719,-0.5335,-0.0551,0.8806,-0.0551,-0.0551,3.4199,-7.9015,-14.0073
2024-07-02,분할 매수,강한 녹색,1,1,57,58.7,0.5665,신규 매수,강한 녹색,1,56,0.5813,0.8806,1.6173,1.0432,1.6173,1.6173,3.7793,-8.5531,-17.4247
2024-07-03,분할 매수,강한 녹색,1,1,56,58.7,0.6241,신규 매수,강한 녹색,1,59,0.6521,1.0432,0.6048,1.1614,0.6048,0.6048,2.8041,-6.1273,-17.6364
2024-07-04,분할 매수,강한 녹색,1,1,57,58.7,0.633,신규 매수,강한 녹색,1,60,0.663,1.1614,1.5317,-0.3237,1.5317,1.5317,-0.5994,-11.494,-16.6952
2024-07-05,분할 매수,강한 녹색,1,1,58,58.7,0.73,신규 매수,강한 녹색,1,66,0.7703,-0.3237,-0.2571,1.265,-0.2571,-0.2571,-1.2248,-18.8423,-17.2907
2024-07-08,분할 매수,강한 녹색,1,1,62,58.7,0.7199,신규 매수,강한 녹색,1,72,0.7938,1.265,0.2897,-0.0096,0.2897,0.2897,-1.0873,-20.3309,-16.7817
2024-07-09,분할 매수,강한 녹색,1,1,60,79.3,0.6199,신규 매수,강한 녹색,1,67,0.6469,1.7585,2.301,0.5674,2.301,2.301,0.7173,-19.9705,-15.677
2024-07-10,분할 매수,강한 녹색,1,1,63,79.3,0.6723,신규 매수,강한 녹색,1,72,0.7281,0.5674,-2.5063,-2.3153,-2.5063,-2.5063,-7.6945,-22.2457,-17.8225
2024-07-11,분할 매수,강한 녹색,1,1,59,79.3,0.5613,신규 매수,강한 녹색,1,65,0.5828,-2.3153,0.3605,0.8034,0.3605,0.3605,-5.0953,-17.2792,-13.4814
2024-07-12,분할 매수,강한 녹색,1,1,64,79.3,0.6339,신규 매수,강한 녹색,1,70,0.6703,0.8034,0.292,0.4295,0.292,0.292,-5.9058,-17.7831,-16.1907
